"TP load","Qmin","Crop production","NSWRM costs","linE","pond_share_con","hedge_share_con","grassslope_share_con","buffer_share_con","lowtillcc_share_con","lu_share","pond_moran","hedge_moran","grassslope_moran","buffer_moran","lowtillcc_moran","pond_channel_frac","grassslope_channel_frac","buffer_channel_frac","lowtillcc_channel_frac"
-6882,0.14165,59069.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6756,0.14155,59073.816,-3016.50175,100,9.681957644,0,0,0,0.246247849,0,5.99e-05,0,0,0,0.000109052,0,0,0,0
-6712,0.14173,58983.255,10779.69397,0,0,0,8.914337641,51.7894895,0,100,0,0,0.000210405,0.001693737,0,0,1.100560012,1.38990034,0
-6352,0.14416,58950.782,-138733.0308,2.380952381,46.51201078,0,5.25584978,0,39.16591922,0.175280126,0.000152071,0,0.000139351,0,0.002790449,2.117651334,189.0280135,0,0.104440987
-6701,0.14147,59072.501,-7185.66178,133.3333333,27.36361595,0,0,0.751522417,0.322512605,0.790123858,0.000143328,0,0,0.000248305,0.000212388,3.016215938,0,10.707,0
-6398,0.14362,59032.04,-128089.1909,2.510460251,40.43104093,0,5.25584978,0,36.38430619,0.188657505,0.000116704,0,0.000139351,0,0.003215164,2.041366551,189.0280135,0,0.110756899
-6441,0.14394,59062.358,-156707.0481,1.47601476,40.49539774,0,0,0,44.28964776,0,0.00027037,0,0,0,0.002258794,1.789047215,0,0,0.130741164
-6354,0.1433,59128.751,-153657.5413,0.74906367,25.42393175,0,0,0,44.40378187,0,0.000151068,0,0,0,0.001983055,0,0,0,0.103450893
-6795,0.14269,59038.643,-41316.07093,6.12244898,0,2.156070997,1.742998986,1.609733363,8.052577312,0.536803654,0,0.000234308,9.14e-05,0.000188955,0.000853871,0,93.794,22.934,0.018050202
-6354,0.14381,59057.414,-146666.3618,1.214574899,33.94896356,0,0,0,41.7219013,0,9.31e-05,0,0,0,0.002598928,2.431136798,0,0,0.225212186
-6868,0.1421,59049.871,-16994.01465,0,0,0,0,0,5.102427022,0,0,0,0,0,0.000813236,0,0,0,0.400258197
-6537,0.1419,58964.218,-8640.67943,231.25,50.4003592,0,8.791613743,51.7894895,2.398095818,10.9043213,5.59e-05,0,0.000204769,0.001693737,0.000883526,1.46634435,2.13965934,1.38990034,1.099936995
-6266,0.1436,58884.305,-104276.4654,20.78651685,46.9086283,0,8.791613743,51.7894895,31.26571067,0.932919922,0.000169213,0,0.000204769,0.001693737,0.003402551,1.391513496,2.13965934,1.38990034,3.945572279
-6509,0.14277,59043.859,-73675.94514,2.586206897,30.68023647,0,0,0,20.02980874,0,0.00014153,0,0,0,0.002130659,2.408856334,0,0,0.799779698
-6300,0.14353,59113.796,-158869.0821,0.71942446,25.42393175,0,0,0,45.96853906,0,0.000151068,0,0,0,0.002042794,0,0,0,0.109307088
-6767,0.14243,59012.414,-25318.96079,12.96296296,0,0,7.25628277,3.433264922,8.752378013,1.206195402,0,0,0.000199777,9.1e-05,0.001021628,0,136.9162248,15.03187122,0.01660699
-6127,0.14177,59099.074,-139664.9283,2.904564315,33.88460675,0,1.386218835,11.14052845,40.24787521,0.140764895,0.000103991,0,8.6e-05,0.000143643,0.001790069,2.906813185,13.57004968,41.73928831,0.323050124
-6702,0.14148,59073.524,-15083.0086,200,62.65060241,0,0,0,0.26142677,0,0.000150365,0,0,0,0.00012723,1.041873292,0,0,0
-6266,0.14366,58884.304,-104395.2049,20.67039106,46.9086283,0,8.791613743,51.7894895,31.30136203,0.931867511,0.000169213,0,0.000204769,0.001693737,0.003420315,1.391513496,2.13965934,1.38990034,3.941078385
-6711,0.14174,58983.656,9443.04736,825,0,0,8.914337641,51.7894895,0.401326109,42.45683079,0,0,0.000210405,0.001693737,0.000642365,0,1.100560012,1.38990034,0
-5890,0.14359,58901.612,-118513.9477,28.45528455,25.42393175,0,56.0142608,53.80688534,43.56528519,2.066808451,0.000151068,0,0.000473169,0.001501182,0.00188716,0,3.598255322,1.208372324,2.227756142
-6283,0.14394,59018.75,-150714.8622,8.148148148,40.49539774,0,0,44.76587483,44.20628371,0.349598191,0.00027037,0,0,0.001232096,0.002282597,1.789047215,0,1.290229743,0.130987715
-6417,0.14394,59058.634,-155653.5942,2.58302583,40.49539774,0,2.252775179,0,44.28964776,0.066512903,0.00027037,0,0.000145219,0,0.002258794,1.789047215,50.75347717,0,0.130741164
-6303,0.14358,59113.565,-160358.8959,1.079136691,31.99131931,0,0,0,45.96853906,0,0.000159449,0,0,0,0.002042794,0,0,0,0.109307088
-6588,0.14313,59058.013,-72035.76022,1.538461538,25.42393175,0,0,0,19.89696637,0,0.000151068,0,0,0,0.002645936,0,0,0,0.230869913
-6145,0.14437,59096.073,-229111.5087,0.72815534,33.94896356,0,0,0,66.47593113,0,9.31e-05,0,0,0,0.002775655,2.431136798,0,0,0.057451161
-6052,0.14346,59121.085,-207649.1011,1.377410468,30.68023647,0,1.873137608,0,60.49352629,0.040503524,0.00014153,0,8e-05,0,0.002360837,2.408856334,0.132026787,0,0.055272902
-6740,0.14258,59053.028,-48541.95281,12.96296296,27.56566639,2.156070997,1.742998986,6.502735999,8.532138107,0.702726634,0.000136019,0.000234308,9.14e-05,0.00029483,0.000856944,2.681026496,93.794,5.677244924,0.017035665
